,gaps,mutualinformation,mutualinformation_std,shuffledmutualinformation
183,183,0.0012699890377863767,3.999905332101083e-05,0.0009993296158085413
184,184,0.001200049330091271,3.336080628680565e-05,0.0009898016925041612
185,185,0.0013466387459419732,4.811514555624735e-05,0.001002053655161495
186,186,0.0013316774188845953,2.6655578271164167e-05,0.0009715577113731795
187,187,0.0012036933844672365,3.671891751722507e-05,0.0009559411483535982
188,188,0.0014202816027603718,4.5023512300758916e-05,0.0009626930290078054
189,189,0.0013471219601050208,3.035416850650816e-05,0.0009672907589553468
190,190,0.0011873307514492504,2.4972732881721857e-05,0.0009617876380850053
191,191,0.0013384942419933275,5.500078951697516e-05,0.0009448392603348807
192,192,0.0012953028812991158,4.3726347284552144e-05,0.000983749122147854
193,193,0.0011141263563747806,3.14413927257141e-05,0.000980507457134082
194,194,0.0011947355482139,4.4493156238584064e-05,0.0009671024613407096
195,195,0.002381257066844794,8.662636774456896e-05,0.0009650281701518485
196,196,0.0010548730282866458,3.5839167238161105e-05,0.0009801702733473053
197,197,0.001239858173991118,4.0373573323569556e-05,0.0010031350913124735
198,198,0.0012847799498239018,3.5540690419233464e-05,0.0009435670158139879
199,199,0.001206368782323872,3.976373016809913e-05,0.0009641824674253255
200,200,0.0011092582552649282,3.818851351118218e-05,0.0009353186360572498
